ISOA;pais_ing;pais_port
TON;Tonga;Tonga
TTO;Trinidad and Tobago;Trinidad e Tobago
TUN;Tunisia;Tunísia
TUR;Turkey;Peru
TUV;Tuvalu;Tuvalu
TWN;Taiwan;Taiwan
TZA;Tanzania;Tanzânia
UGA;Uganda;Uganda
UKR;Ukraine;Ucrânia
UMI;United States Minor Outlying Islands;Ilhas Menores Distantes dos Estados Unidos
URY;Uruguay;Uruguai
USA;United States;Estados Unidos
UZB;Uzbekistan;Uzbequistão
VAT;Vatican City;Cidade do Vaticano
VCT;Saint Vincent and the Grenadines;São Vicente e Granadinas
VEN;Venezuela;Venezuela
VGB;British Virgin Islands;Ilhas Virgens Britânicas
VIR;United States Virgin Islands;Ilhas Virgens dos Estados Unidos
VNM;Vietnam;Vietnã
VUT;Vanuatu;Vanuatu
WLF;Wallis and Futuna;Wallis e Futuna
WSM;Samoa;Samoa
YEM;Yemen;Iémen
ZAF;South Africa;África do Sul
ZMB;Zambia;Zâmbia
ZWE;Zimbabwe;Zimbábue
