nome.empresa,setores,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
BIOMM S.A.,Saúde / Medicamentos e Outros Produtos / Medicamentos e Outros Produtos,92.090,(15.766),(10.763),13.783.125,TRUE
BIOSEV S.A.,Consumo não Cíclico / Alimentos Processados / Açucar e Alcool,532.846,(1.199.130),638.373,61.163.399,TRUE
BIOTOSCANA INVESTMENTS S.A.,Saúde / Medicamentos e Outros Produtos / Medicamentos e Outros Produtos,736.584.709,7.998.911,(2.550.764),50.467.851,FALSE
BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,Consumo Cíclico / Hoteis e Restaurantes / Restaurante e Similares,1.762.908,3.051,(58.232),225.793.788,TRUE
BNDES PARTICIPACOES S.A. - BNDESPAR,Financeiro / Serviços Financeiros Diversos / Gestão de Recursos e Investimentos,104.229.544,5.845.678,7.199.350,0,TRUE
BOMBRIL S.A.,Consumo não Cíclico / Produtos de Uso Pessoal e de Limpeza / Produtos de Limpeza,(246.898),(5.509),27.664,26.106.628,TRUE
BR HOME CENTERS S.A.,Consumo Cíclico / Comércio / Produtos Diversos,(51.503),(14.491),11.174,0,TRUE
BR MALLS PARTICIPACOES S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,11.067.457,165.511,207.634,839.974.219,TRUE
BR PROPERTIES S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,5.703.996,(167.888),92.711,117.801.430,TRUE
BRADESCO LEASING S.A. ARREND MERCANTIL,Financeiro / Intermediários Financeiros / Soc. Arrendamento Mercantil,3.418.297,72.025,(132.935),0,TRUE
BRADESPAR S.A.,Materiais Básicos / Mineração / Minerais Metálicos,9.661.845,(355.091),63.461,248.589.018,TRUE
BRASIL BROKERS PARTICIPACOES S.A.,Financeiro / Exploração de Imóveis / Intermediação Imobiliária,215.588,(6.355),(12.241),35.480.938,TRUE
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,Consumo não Cíclico / Agropecuária / Agricultura,888.380,140.076,(6.095),30.490.748,TRUE
BRASKEM S.A.,Materiais Básicos / Químicos / Petroquímicos,7.194.366,1.016.492,1.044.299,278.039.723,TRUE
BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,(227.670),(29.985),(16.186),0,FALSE
BRAZILIAN FINANCE E REAL ESTATE S.A.,Financeiro / Serviços Financeiros Diversos / Gestão de Recursos e Investimentos,176.068,3.855,982,0,TRUE
BRAZILIAN SECURITIES CIA SECURITIZACAO,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,221.829,(70),(1.020),0,TRUE
BRB BCO DE BRASILIA S.A.,Financeiro / Intermediários Financeiros / Bancos,1.439.394,188.543,367.392,1.142.127,TRUE
BRC SECURITIZADORA S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,1.044.239,175.725,45.604,453.440,FALSE
BRF S.A.,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados,7.299.159,(1.012.331),12.302,811.416.229,TRUE
BRPR 55 SECURITIZADORA CRED IMOB S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,36.103,(1.071),3.713,5.031.024,TRUE
BRPR 56 SECURITIZADORA CRED IMOB S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,163.002,6.374,34.122,340.063,TRUE
BRQ SOLUCOES EM INFORMATICA S.A.,Tecnologia da Informação / Programas e Serviços / Programas e Serviços,92.954,5.866,(2.122),30.515.875,TRUE
BV LEASING - ARRENDAMENTO MERCANTIL S.A.,Financeiro / Intermediários Financeiros / Soc. Arrendamento Mercantil,987.932,5.407,200.914,510.404,TRUE
CABINDA PARTICIPACOES S.A.,Outros / Outros / Outros,60,(20),(17),7.104.000,TRUE
CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,140.116,4.050,8.822,76.281.111,TRUE
CACONDE PARTICIPACOES S.A.,Outros / Outros / Outros,49,(21),(17),1.839.753,TRUE
CAMBUCI S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados,37.333,4.142,(7.138),4.198.008,TRUE
CAMIL ALIMENTOS S.A.,Consumo não Cíclico / Alimentos Processados / Alimentos Diversos,2.238.772,49.794,100.186,153.650.902,TRUE
CAPITALPART PARTICIPACOES S.A.,Outros / Outros / Outros,193.632,(139.690),(5.950),933,FALSE
CCR S.A.,Bens Industriais / Transporte / Exploração de Rodovias,8.815.460,355.151,1.066.227,1.115.695.556,TRUE
CCX CARVÃO DA COLÔMBIA S.A.,Outros / Outros / Outros,(47.643),(1.175),(652),744.796,TRUE
CELULOSE IRANI S.A.,Materiais Básicos / Madeira e Papel / Papel e Celulose,309.696,(6.363),(16.478),15.028.261,TRUE
CEMEPE INVESTIMENTOS S.A.,Outros / Outros / Outros,(5.473),(59),(27),35.693,TRUE
CEMIG DISTRIBUICAO S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,4.830.712,188.354,381.053,0,TRUE
CEMIG GERACAO E TRANSMISSAO S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,5.563.352,583.216,270.704,0,TRUE
CENTRAIS ELET BRAS S.A. - ELETROBRAS,Utilidade Pública / Energia Elétrica / Energia Elétrica,57.439.567,1.347.354,(361.980),495.771.527,TRUE
CENTRAIS ELET DE SANTA CATARINA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.879.785,72.670,290.216,29.107.626,TRUE
CENTRAIS ELET DO PARA S.A. - CELPA,Utilidade Pública / Energia Elétrica / Energia Elétrica,3.057.231,51.150,278.080,77.335.252,TRUE
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,1.303.495,11.494,38.585,46.475.090,TRUE
CESP - CIA ENERGETICA DE SAO PAULO,Utilidade Pública / Energia Elétrica / Energia Elétrica,6.945.826,(158.243),12.302,196.480.054,TRUE
CIA BRASILEIRA DE DISTRIBUICAO,Consumo não Cíclico / Comércio e Distribuição / Alimentos,13.680.000,219.000,(4.608.000),155.609.595,TRUE
CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,Utilidade Pública / água e Saneamento / água e Saneamento,1.298.595,52.590,73.781,24.187,TRUE
CIA CELG DE PARTICIPACOES - CELGPAR,Utilidade Pública / Energia Elétrica / Energia Elétrica,(1.712.767),13.727,(4.007),77.810,TRUE
CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,Utilidade Pública / Gás / Gás,1.359.676,66.674,73.221,451.373,TRUE
CIA ELETRICIDADE EST. DA BAHIA - COELBA,Utilidade Pública / Energia Elétrica / Energia Elétrica,4.942.255,230.547,355.596,2.777.464,TRUE
CIA ENERGETICA DE BRASILIA,Utilidade Pública / Energia Elétrica / Energia Elétrica,769.593,17.531,51.444,2.854.274,FALSE
CIA ENERGETICA DE MINAS GERAIS - CEMIG,Utilidade Pública / Energia Elétrica / Energia Elétrica,16.735.702,797.239,616.004,1.208.699.885,TRUE
CIA ENERGETICA DE PERNAMBUCO - CELPE,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.635.716,38.016,118.489,7.725.191,TRUE
CIA ENERGETICA DO CEARA - COELCE,Utilidade Pública / Energia Elétrica / Energia Elétrica,2.869.606,7.010,(6.056),20.202.624,TRUE
CIA ENERGETICA DO MARANHAO - CEMAR,Utilidade Pública / Energia Elétrica / Energia Elétrica,2.979.104,126.589,272.328,57.285.795,TRUE
CIA ENERGETICA DO RIO GDE NORTE - COSERN,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.028.727,55.531,109.717,1.902.903,TRUE
CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,Utilidade Pública / Energia Elétrica / Energia Elétrica,(2.589.949),(237.508),91.972,3.298.838,TRUE
CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Utilidade Pública / Energia Elétrica / Energia Elétrica,2.489.123,93.619,46.602,3.298.838,TRUE
CIA FERRO LIGAS DA BAHIA - FERBASA,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia,1.789.602,46.059,32.028,40.471.088,TRUE
CIA FIACAO TECIDOS CEDRO CACHOEIRA,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,188.250,(20.451),8.668,5.378.023,TRUE
CIA GAS DE SAO PAULO - COMGAS,Utilidade Pública / Gás / Gás,2.921.935,200.056,320.911,6.391.282,TRUE
CIA HABITASUL DE PARTICIPACOES,Financeiro / Exploração de Imóveis / Exploração de Imóveis,264.143,(19.670),(4.298),3.826.275,TRUE
CIA HERING,Consumo Cíclico / Tecidos. Vestuário e Calçados / Vestuário,1.348.337,46.685,91.415,125.486.566,TRUE
CIA INDUSTRIAL CATAGUASES,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,124.756,(5.353),(9.209),44.287,TRUE
CIA LOCAÇÃO DAS AMÉRICAS,Consumo Cíclico / Diversos / Aluguel de carros,2.619.927,73.804,(420.846),72.709.385,TRUE
CIA MELHORAMENTOS DE SAO PAULO,Materiais Básicos / Madeira e Papel / Papel e Celulose,913.111,(6.873),1.975,755.311,TRUE
CIA PARANAENSE DE ENERGIA - COPEL,Utilidade Pública / Energia Elétrica / Energia Elétrica,16.838.841,505.962,803.091,188.626.777,FALSE
CIA PARTICIPACOES ALIANCA DA BAHIA,Financeiro / Holdings Diversificadas / Holdings Diversificadas,542.283,13.827,19.621,5.631.319,TRUE
CIA PAULISTA DE FORCA E LUZ,Utilidade Pública / Energia Elétrica / Energia Elétrica,2.098.807,187.465,535.700,0,TRUE
CIA PIRATININGA DE FORCA E LUZ,Utilidade Pública / Energia Elétrica / Energia Elétrica,585.350,67.491,388.333,0,TRUE
CIA SANEAMENTO BASICO EST SAO PAULO,Utilidade Pública / água e Saneamento / água e Saneamento,20.198.979,647.291,589.840,339.982.576,TRUE
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,Utilidade Pública / água e Saneamento / água e Saneamento,6.360.379,186.735,375.176,62.969.736,TRUE
CIA SANEAMENTO DO PARANA - SANEPAR,Utilidade Pública / água e Saneamento / água e Saneamento,5.934.736,217.548,284.324,402.820.597,TRUE
CIA SEGUROS ALIANCA DA BAHIA,Financeiro / Previdência e Seguros / Seguradoras,172.858,5.719,2.054,3.724.815,TRUE
CIA SIDERURGICA NACIONAL,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia,10.250.388,86.763,1.185.970,642.387.288,TRUE
CIA TECIDOS NORTE DE MINAS COTEMINAS,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,1.942.439,148.775,1.359,15.290.147,TRUE
CIA TECIDOS SANTANENSE,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,276.321,(1.302),7.724,4.724.076,TRUE
CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,75.542,1.081,4.225,41.649,TRUE
CIELO S.A.,Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos,9.040.130,548.532,99.752,1.118.386.806,TRUE
CIMS S.A.,Outros / Outros / Outros,150.970,(65.048),(63.136),0,FALSE
CINESYSTEM S.A.,Consumo Cíclico / Mídia / Produção e Difusão de Filmes e Programas,39.307,(1.577),7.176,0,TRUE
CONC AUTO RAPOSO TAVARES S.A.,Bens Industriais / Transporte / Exploração de Rodovias,670.300,(22.568),54.567,2.616.389.044,TRUE
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Bens Industriais / Transporte / Serviços de Apoio e Armazenagem,(1.099.337),(180.546),367.748,3.033.541.675,TRUE
CONC ECOVIAS IMIGRANTES S.A.,Bens Industriais / Transporte / Exploração de Rodovias,532.073,89.363,139.739,0,TRUE
CONC RIO-TERESOPOLIS S.A.,Bens Industriais / Transporte / Exploração de Rodovias,146.964,11.705,39.622,86.466,TRUE
CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,Bens Industriais / Transporte / Exploração de Rodovias,581.283,4.711,48.262,0,TRUE
CONC ROD.OESTE SP VIAOESTE S.A,Bens Industriais / Transporte / Exploração de Rodovias,243.939,73.546,114.939,0,TRUE
CONC RODOVIAS DO TIETÊ S.A.,Bens Industriais / Transporte / Exploração de Rodovias,(57.579),(25.415),39.422,0,TRUE
CONC ROTA DAS BANDEIRAS S.A.,Bens Industriais / Transporte / Exploração de Rodovias,850.087,5.724,42.467,0,TRUE
CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN,Bens Industriais / Transporte / Exploração de Rodovias,466.242,170.142,233.043,0,TRUE
CONSERVAS ODERICH S.A.,Consumo não Cíclico / Alimentos Processados / Alimentos Diversos,182.842,8.088,11.712,197.952,TRUE
CONSORCIO ALFA DE ADMINISTRACAO S.A.,Financeiro / Previdência e Seguros / Seguradoras,1.706.906,20.014,27.535,15.132.392,TRUE
CONSTRUTORA ADOLPHO LINDENBERG S.A.,Consumo Cíclico / Construção Civil / Incorporações,18.244,(7.781),(5.483),51.644,TRUE
CONSTRUTORA TENDA S.A.,Consumo Cíclico / Construção Civil / Incorporações,1.201.012,50.545,48.874,99.197.204,TRUE
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,Financeiro / Exploração de Imóveis / Exploração de Imóveis,(3.471),(608),(816),16.864,TRUE
COSAN LOGISTICA S.A.,Bens Industriais / Transporte / Transporte Ferroviário,7.796.069,26.372,521.329,125.570.897,TRUE
COSAN S.A.,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,10.129.492,429.020,239.673,155.404.710,TRUE
CPFL ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,13.100.743,570.358,1.898.319,170.209.781,TRUE
CPFL ENERGIAS RENOVÁVEIS S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,4.154.242,(93.023),116.292,291.550,TRUE
CPFL GERACAO DE ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,4.897.486,86.975,315.654,0,TRUE
CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,Consumo Cíclico / Construção Civil / Incorporações,161.493,(6.167),(1.181),2.003.649,TRUE
CRISTAL PIGMENTOS DO BRASIL S.A.,Materiais Básicos / Químicos / Químicos Diversos,513.456,19.921,(7.120),29.018.747,TRUE
CSU CARDSYSTEM S.A.,Bens Industriais / Serviços / Serviços Diversos,245.532,4.514,26.543,16.724.754,TRUE
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,Consumo não Cíclico / Agropecuária / Agricultura,579.621,23.597,74.931,158.271,TRUE
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,Utilidade Pública / Energia Elétrica / Energia Elétrica,11.705.069,357.391,389.988,422.881.944,TRUE
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,Consumo Cíclico / Viagens e Lazer / Viagens e Turismo,1.211.070,96.071,898,146.934.260,TRUE
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,Consumo Cíclico / Construção Civil / Incorporações,5.567.989,61.400,102.634,263.583.096,TRUE
CYRELA COMMERCIAL PROPERT S.A. EMPR PART,Financeiro / Exploração de Imóveis / Exploração de Imóveis,1.781.094,17.761,26.364,26.284.954,TRUE
DIAGNOSTICOS DA AMERICA S.A.,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,3.472.967,67.880,(130.535),2.639.767,TRUE
DIBENS LEASING S.A. - ARREND.MERCANTIL,Financeiro / Intermediários Financeiros / Soc. Arrendamento Mercantil,5.395.004,86.428,10.106.933,0,TRUE
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,Saúde / Comércio e Distribuição / Medicamentos e Outros Produtos,477.291,13.379,(15.133),1.445.915,TRUE
DIRECIONAL ENGENHARIA S.A.,Consumo Cíclico / Construção Civil / Incorporações,1.366.647,26.754,17.476,76.763.694,TRUE
DOHLER S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,573.740,2.836,15.346,7.812.767,TRUE
DOMMO ENERGIA S.A.,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,(397.491),(40.819),(1.248),269.968.506,TRUE
DTCOM - DIRECT TO COMPANY S.A.,Bens Industriais / Serviços / Serviços Diversos,4.203,(2.272),1.250,185.908,TRUE
DURATEX S.A.,Materiais Básicos / Madeira e Papel / Madeira,4.670.893,23.898,91.668,273.493.230,TRUE
ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Não Classificados / Não Classificado / Não Classificados,694,(392),(1.141),0,TRUE
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,Bens Industriais / Transporte / Exploração de Rodovias,1.099.369,137.114,127.249,0,TRUE
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Bens Industriais / Transporte / Exploração de Rodovias,726.388,86.069,153.096,171.079.276,TRUE
EDP - ENERGIAS DO BRASIL S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,9.908.718,346.187,804.257,295.402.225,TRUE
EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,988.245,63.212,229.575,5.876.012,TRUE
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.270.330,72.921,201.296,39.091.735.037,TRUE
ELECTRO ACO ALTONA S.A.,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais,160.374,5.750,(8.685),22.500.000,TRUE
ELEKEIROZ S.A.,Materiais Básicos / Químicos / Petroquímicos,215.256,29.463,9.478,1.106.049,TRUE
ELEKTRO REDES S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,2.414.974,106.160,80.879,623.844,TRUE
ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Utilidade Pública / Energia Elétrica / Energia Elétrica,188.637,(2.957),(5),1.915.985,TRUE
ELETRON S.A.,Outros / Outros / Outros,1.207.552,17.406,(380),2,TRUE
ELETROPAULO METROP. ELET. SAO PAULO S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,2.950.031,69.051,395.537,8.133.352,TRUE
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,889.625,20.770,42.101,22.189.646,TRUE
EMBRAER S.A.,Bens Industriais / Material de Transporte / Material Aeronáutico e de Defesa,15.165.180,(155.884),(1.277.390),735.868.554,TRUE
EMPRESA CONC RODOV DO NORTE S.A.ECONORTE,Bens Industriais / Transporte / Exploração de Rodovias,(108.418),(2.985),7.718,18.928.597,TRUE
EMPRESA NAC COM REDITO PART S.A.ENCORPAR,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,215.110,16.863,(448),337.760,TRUE
ENAUTA PARTICIPAÇÕES S.A.,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,3.225.347,50.975,107.150,75.621.071,TRUE
ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,874.838,98.556,97.964,421,TRUE
ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.865.047,119.024,348.253,5.354.258,TRUE
ENERGISA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,6.312.856,128.774,604.653,1.250.895.290,TRUE
ENEVA S.A,Utilidade Pública / Energia Elétrica / Energia Elétrica,6.427.807,129.401,247.372,315.276.037,TRUE
ENGIE BRASIL ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,6.888.325,565.490,951.477,254.813.401,TRUE
EQUATORIAL ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,6.735.408,257.742,(67.810),198.202.097,TRUE
ESTACIO PARTICIPACOES S.A.,Consumo Cíclico / Diversos / Serviços Educacionais,2.835.893,240.797,200.719,299.667.897,TRUE
ETERNIT S.A.,Bens Industriais / Construção e Engenharia / Produtos para Construção,(13.217),(25.464),(36.522),29.585.948,TRUE
EUCATEX S.A. INDUSTRIA E COMERCIO,Materiais Básicos / Madeira e Papel / Madeira,1.274.200,11.349,58.636,68.615.887,TRUE
EVEN CONSTRUTORA E INCORPORADORA S.A.,Consumo Cíclico / Construção Civil / Incorporações,1.859.098,54.142,(2.518),205.280.287,TRUE
